probabilities,probability
0.5725,0.02597402597
0.575,0.03896103896
0.5775,0.01298701299
0.58,0.09090909091
0.5825,0.1168831169
0.585,0.1558441558
0.5875,0.2987012987
0.59,0.3376623377
0.5925,0.3636363636
0.595,0.5714285714
0.5975,0.8831168831
0.6,0.8961038961
0.6025,1.103896104
0.605,1.753246753
0.6075,2.701298701
0.61,3.25974026
0.6125,4.064935065
0.615,4.987012987
0.6175,6.207792208
0.62,8.12987013
0.6225,10.1038961
0.625,11.36363636
0.6275,13.87012987
0.63,16.18181818
0.6325,19.16883117
0.635,22.41558442
0.6375,24.85714286
0.64,27.93506494
0.6425,31.79220779
0.645,34.71428571
0.6475,39.15584416
0.65,43.01298701
0.6525,46.02597403
0.655,48.7012987
0.6575,50.35064935
0.66,52.64935065
0.6625,54
0.665,55.79220779
0.6675,53.80519481
0.67,54.75324675
0.6725,53.62337662
0.675,52.16883117
0.6775,50.50649351
0.68,47.72727273
0.6825,44.75324675
0.685,40.55844156
0.6875,37.19480519
0.69,34.87012987
0.6925,30.80519481
0.695,26.03896104
0.6975,23.44155844
0.7,19.2987013
0.7025,17.75324675
0.705,14.46753247
0.7075,12.09090909
0.71,10.28571429
0.7125,7.74025974
0.715,6.727272727
0.7175,5.662337662
0.72,4.194805195
0.7225,3.103896104
0.725,2.519480519
0.7275,1.688311688
0.73,1.298701299
0.7325,0.974025974
0.735,0.7142857143
0.7375,0.4545454545
0.74,0.3766233766
0.7425,0.3766233766
0.745,0.1688311688
0.7475,0.1818181818
0.75,0.1428571429
0.7525,0.05194805195
0.755,0.01298701299
0.7575,0.05194805195
0.76,0.01298701299
0.7625,0.01298701299
